station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
c633f7c4-b318-4756-8bba-edd655d0a0a2,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,1,27,戸坂東浄,
b3182f30-d2f7-4e20-a532-fdff006888eb,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,2,27,戸坂東浄,
90982a39-7ec7-49f9-b35a-6f453b971d70,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,3,27,戸坂東浄,
3c6a92c8-b687-4f87-8cdb-1f682209b0b8,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,4,27,戸坂東浄,
8a76d429-65d4-4d0c-bb86-713ef1989c11,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,5,27,戸坂東浄,
ab6c8b5f-ec31-4edc-9006-db5bcd8ccd4d,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,6,27,戸坂東浄,
3efce6ec-fff6-4584-a365-19d9be0dcb49,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,7,27,戸坂東浄,
d6cef5af-bc1c-4fb8-bdcb-5ed47d3aea72,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,8,27,戸坂東浄,
1807f4cc-2767-41d4-97c9-21e7a60eb035,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,9,27,戸坂東浄,
f86c7e8a-e66b-4b29-adde-c7d7092b66cd,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,10,27,戸坂東浄,
cd057725-49e1-4c49-af88-afcad106b860,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,11,27,戸坂東浄,
4691ba4a-de82-4b8b-85c7-8a384fd0770f,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,12,27,戸坂東浄,
806715c8-6b22-4a67-9341-829b8bc4460f,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,13,27,戸坂東浄,
5d495239-1523-4d98-a61a-61291d74561b,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,14,27,戸坂東浄,
862c1155-d672-4e51-84af-cdb079a5d038,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,15,27,戸坂東浄,
4fee31f8-a132-470c-b18a-1fd857b401e0,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,16,27,戸坂東浄,
af40865f-64bb-495e-9c44-91df95030a08,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,17,27,戸坂東浄,
b75a9dfa-a207-437b-8672-64420ade9d85,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,18,27,戸坂東浄,
892ea9e6-c555-4c6b-a346-683004680c61,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,19,27,戸坂東浄,
855dd345-d780-4bf1-a0e3-3e07846eac94,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,20,27,戸坂東浄,
8715cd09-c2df-433c-8991-d53a50ab07db,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,21,27,戸坂東浄,
f5c2e230-fc31-47d5-b439-316524297659,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,22,27,戸坂東浄,
43a68c15-24e4-4490-8e97-046045049359,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,23,27,戸坂東浄,
8ca2d9a9-b36a-4816-9d8e-84f2287d4d2b,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,24,27,戸坂東浄,
d6583d85-a2a5-4b04-b94d-be95f2392c7d,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,25,27,戸坂東浄,
95b8c72d-3bb7-460b-8fa9-a5639358e36d,7c214a4e-48ae-4d3d-86f6-00023fa80f3a,,,26,27,戸坂東浄,
4a647d73-356a-40c9-945c-f7790cbb2100,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,1,21-2,広島駅,ベイシティ宇品
816e3345-8124-4a7d-ad95-739cb9c83954,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,2,21-2,広島駅,ベイシティ宇品
e56e8f31-e2fd-4ffd-9384-ee515a8af5f0,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,3,21-2,広島駅,ベイシティ宇品
6552997d-2422-4057-8900-340adfc93121,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,4,21-2,広島駅,ベイシティ宇品
6f0b9b98-b42d-4cd2-bfd6-ea996bfe21da,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,5,21-2,広島駅,ベイシティ宇品
d8a26d76-cfd3-42fc-b82c-7add7dafeb92,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,6,21-2,広島駅,ベイシティ宇品
82e93027-43ba-4b65-a6d1-2c10f38b8913,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,7,21-2,広島駅,ベイシティ宇品
49926151-4cff-4120-ad43-f84b47ad5743,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,8,21-2,広島駅,ベイシティ宇品
9e1487e7-648e-4ec9-be3d-ee928eae846f,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,9,21-2,広島駅,ベイシティ宇品
ae44354d-2cd7-4437-bd9a-51a3575304a8,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,10,21-2,広島駅,ベイシティ宇品
a8bf3a4b-e4da-4050-b6f9-3dd75bb56e75,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,11,21-2,広島駅,
e9a1dc90-d918-42e2-b1ba-ef414da30c84,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,12,21-2,広島駅,
9e17664b-7fd3-49c1-83ce-ffc9d535cd46,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,13,21-2,広島駅,
77615db9-3602-4adb-a022-42bfdb5355bc,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,14,21-2,広島駅,
d786a7da-49f6-44bd-8e91-77806d476cbc,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,15,21-2,広島駅,
666b8e62-424a-48c1-a214-a16f31551b10,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,16,21-2,広島駅,
4bb3561d-59ab-4862-bfdf-3f9aaadcd88b,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,17,21-2,広島駅,
3072991e-3e6a-48aa-989d-d7d11dce4140,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,18,21-2,広島駅,
e9852fd8-7e86-49b9-bb25-f6cf31e770c6,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,19,21-2,広島駅,
3c6a92c8-b687-4f87-8cdb-1f682209b0b8,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,20,21-2,広島駅,
8a76d429-65d4-4d0c-bb86-713ef1989c11,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,21,21-2,広島駅,
b53d4e9e-5d7f-4269-92c9-da81f84f2a3a,333ae5bf-f4d7-4273-b70b-0021875d3e62,,,22,21-2,広島駅,
a3bfe020-3f2b-41e4-9a85-298e3830ecae,d48dc66c-b3bf-4466-bdd1-002885102e0d,,,1,24,吉島営業所,
89a8f944-bd29-4381-985f-e41c127bcfa9,d48dc66c-b3bf-4466-bdd1-002885102e0d,,,2,24,吉島営業所,
f255bf04-d46a-42c3-8b3a-598bc9c22027,d48dc66c-b3bf-4466-bdd1-002885102e0d,,,3,24,吉島営業所,
4e21b133-66ed-401b-9c27-2cff25806a5b,d48dc66c-b3bf-4466-bdd1-002885102e0d,,,4,24,吉島営業所,
